"Notify me when back in stock","Notify me when back in stock"
"Email address","Email address"
"Notify me","Notify me"
"We'll email you when this product is back in stock.","We'll email you when this product is back in stock."
"Subscription failed.","Subscription failed."
"Please provide a valid email address.","Please provide a valid email address."
"Stock notifications are not enabled for this store.","Stock notifications are not enabled for this store."
"This product is currently in stock.","This product is currently in stock."
"SKU and email are required.","SKU and email are required."
"Token is required.","Token is required."
"Customer authentication required.","Customer authentication required."
"Something went wrong. Please try again.","Something went wrong. Please try again."
"You have been unsubscribed.","You have been unsubscribed."
"Don't want these alerts?","Don't want these alerts?"
"Unsubscribe","Unsubscribe"
"View product","View product"
"Good news — it's back!","Good news — it's back!"
"%product_name (%product_sku) is back in stock at %store_name.","%product_name (%product_sku) is back in stock at %store_name."
"%product_name is back in stock at %store_name","%product_name is back in stock at %store_name"
"Stock Radar","Stock Radar"
"Stock Radar — back in stock","Stock Radar — back in stock"
"Stock Radar — Subscriptions","Stock Radar — Subscriptions"
"Stock Radar — Demand Heatmap","Stock Radar — Demand Heatmap"
"Subscriptions","Subscriptions"
"Demand Heatmap","Demand Heatmap"
"Pending subscribers","Pending subscribers"
"Pending","Pending"
"Notified","Notified"
"Cancelled","Cancelled"
"Bounced","Bounced"
"SKU","SKU"
"Product","Product"
"Product ID","Product ID"
"Parent ID","Parent ID"
"Store","Store"
"Email","Email"
"Customer ID","Customer ID"
"Status","Status"
"Created","Created"
"Notified","Notified"
"First subscribed","First subscribed"
"Latest subscribed","Latest subscribed"
"Edit product","Edit product"
"General","General"
"Enable","Enable"
"Dispatch","Dispatch"
"Throttle window (minutes)","Throttle window (minutes)"
"Notifications for a single product are spread randomly over this window so a restock doesn't blast all subscribers at once.","Notifications for a single product are spread randomly over this window so a restock doesn't blast all subscribers at once."
"Subscription expiry (days)","Subscription expiry (days)"
"Pending subscriptions older than this are auto-cancelled. 0 disables expiry.","Pending subscriptions older than this are auto-cancelled. 0 disables expiry."
"Sender","Sender"
"Template","Template"
"Admin alerts","Admin alerts"
"High-demand subscriber threshold","High-demand subscriber threshold"
"When pending subscriber count for any single product first crosses this number, alert the admin. 0 disables both transports below.","When pending subscriber count for any single product first crosses this number, alert the admin. 0 disables both transports below."
"Post to admin notification inbox","Post to admin notification inbox"
"When on, drops a message into the admin bell-icon inbox (top-right of the admin header).","When on, drops a message into the admin bell-icon inbox (top-right of the admin header)."
"Send email to admin","Send email to admin"
"When on, sends a transactional email so the admin gets the alert outside the admin panel.","When on, sends a transactional email so the admin gets the alert outside the admin panel."
"Admin recipient email","Admin recipient email"
"Leave blank to use the General Contact email (Stores → Configuration → General → Store Email Addresses → General Contact).","Leave blank to use the General Contact email (Stores → Configuration → General → Store Email Addresses → General Contact)."
"Email sender","Email sender"
"Email template","Email template"
"High-demand subscriber alert","High-demand subscriber alert"
"Stock Radar: %1 customers waiting for %2","Stock Radar: %1 customers waiting for %2"
"SKU %1 has just crossed the high-demand threshold of %2 pending subscribers on store %3. Review the Demand Heatmap: %4","SKU %1 has just crossed the high-demand threshold of %2 pending subscribers on store %3. Review the Demand Heatmap: %4"
"you@example.com","you@example.com"
"Stock Notifications","Stock Notifications"
"My Stock Notifications","My Stock Notifications"
"You don't have any active stock notifications. Visit a product page that's out of stock to subscribe.","You don't have any active stock notifications. Visit a product page that's out of stock to subscribe."
"Subscribed","Subscribed"
"Cancel","Cancel"
"Cancel this notification?","Cancel this notification?"
"Waiting for restock","Waiting for restock"
"Email bounced","Email bounced"
"Product no longer available","Product no longer available"
"Actions","Actions"
